"draw","previous_x","previous_y","candidate_x","candidate_y","alpha","u","accept","retained_x","retained_y"
1,2,-1,1.68224959492408,-2.56238670060039,1,0.124392084078863,"Yes",1.68224959492408,-2.56238670060039
2,1.68224959492408,-2.56238670060039,4.94198421481773,-3.19117281071893,4.23969992831222e-11,0.282141609815881,"No",1.68224959492408,-2.56238670060039
3,1.68224959492408,-2.56238670060039,1.01394970342809,0.0386814482622353,1,0.695427962811664,"Yes",1.01394970342809,0.0386814482622353
4,1.01394970342809,0.0386814482622353,-0.556839161127333,0.949748773645147,1,0.729396071750671,"Yes",-0.556839161127333,0.949748773645147
5,-0.556839161127333,0.949748773645147,-3.17102060463277,-1.03768070114569,1.38670520132449e-12,0.291868650587276,"No",-0.556839161127333,0.949748773645147
6,-0.556839161127333,0.949748773645147,-1.342102045478,1.30237714743275,0.262273309469325,0.238023281330243,"Yes",-1.342102045478,1.30237714743275
7,-1.342102045478,1.30237714743275,0.0492663752556688,0.227223145026497,1,0.832075560465455,"Yes",0.0492663752556688,0.227223145026497
8,0.0492663752556688,0.227223145026497,-0.315710857141318,-0.254841426965246,0.707279312683425,0.123721348354593,"Yes",-0.315710857141318,-0.254841426965246
9,-0.315710857141318,-0.254841426965246,0.520405423244551,-0.00166915600859796,0.89162836420718,0.561691378708929,"Yes",0.520405423244551,-0.00166915600859796
10,0.520405423244551,-0.00166915600859796,-0.327950119607329,0.819560979388523,1,0.71696625254117,"Yes",-0.327950119607329,0.819560979388523
11,-0.327950119607329,0.819560979388523,-1.98325038379232,2.17374156605401,0.0267736667913934,0.527233893983066,"No",-0.327950119607329,0.819560979388523
12,-0.327950119607329,0.819560979388523,-2.08802947064439,0.994816947158012,0.00548494521539846,0.132828701287508,"No",-0.327950119607329,0.819560979388523
13,-0.327950119607329,0.819560979388523,-2.12563040558274,0.0543152440629455,0.000211895230527041,0.620291450759396,"No",-0.327950119607329,0.819560979388523
14,-0.327950119607329,0.819560979388523,1.16333953269845,2.7010409353982,1.19785552886285e-07,0.246755389962345,"No",-0.327950119607329,0.819560979388523
